Output,RG,RF,RZ,RP,RYM,RZM,CG,CF,CZ,CP,CYM,CZM
11.4349142857,0.2606574232,0.0690528518,1358.44100566,102.697753906,-1005.70715332,0.6067901502,0.2163029306,0.1132364216,1358.44100566,145.522461433,-1005.70715332,0.6067901502
11.5708785714,0.2603155774,0.0678563915,1390.83726124,100.366210938,-1012.02624512,0.8695909355,0.2157901619,0.11255273,1390.83726124,141.718398246,-1012.02624512,0.8695909355
11.6541357143,0.2581790412,0.0700783892,1344.27172632,101.432291667,-1005.92797852,-1.0491191482,0.2160465462,0.1119544998,1344.27172632,142.995835523,-1005.92797852,-1.0491191482
11.71465,0.2620164004,0.0648106014,1381.79979108,102.96730917,-1003.8326416,-0.4885313493,0.2145222502,0.1127250539,1381.79979108,145.502779411,-1003.8326416,-0.4885313493
11.7452214286,0.2591314791,0.0688852151,1382.42169608,103.328450521,-1002.35009766,-0.6402128684,0.2158859222,0.112130772,1382.42169608,146.034323103,-1002.35009766,-0.6402128684
11.7576214286,0.247764564,0.0811067855,1596.03927896,107.478841146,-1009.83251953,0.4888173868,0.2117835769,0.1170877726,1596.03927896,151.478664473,-1009.83251953,0.4888173868
11.7756214286,0.2544844721,0.0753545209,1460.05405815,100.697662871,-1006.87890625,0.1996301768,0.215286215,0.1148135204,1460.05405815,141.784806354,-1006.87890625,0.1996301768
11.77485,0.261964338,0.0687175621,1379.44417345,102.600097656,-1010.08239746,-0.7272827669,0.2179474917,0.1125634692,1373.11595079,144.278954111,-1010.08239746,-0.7272827669
11.8033642857,0.2639301389,0.0641022034,1368.33546044,106.331380208,-1003.20166016,-0.4178434595,0.2176910828,0.1108540771,1362.92407892,149.521633251,-1003.20166016,-0.4178434595
11.7817642857,0.266737911,0.0628171626,1358.47872576,103.356933594,-1011.2355957,0.191471123,0.2187062846,0.1113615822,1358.47872576,146.649934457,-1011.2355957,0.191471123
11.7757642857,0.2682496701,0.0590973106,1382.03515506,104.928438781,-1004.44628906,-0.6193185306,0.2184835138,0.108695338,1379.0371322,147.636416218,-1004.44628906,-0.6193185306
11.6648457143,0.2620289006,0.0640571133,1422.4830402,104.420146004,-1007.53186035,-0.0392726623,0.2145324845,0.1118057227,1422.4830402,147.947745476,-1007.53186035,-0.0392726623
11.6186171429,0.265856732,0.0760348485,1417.01815818,102.715853987,-1008.44958496,-0.2434827049,0.2175097673,0.1130708928,1407.88245363,143.518961029,-1008.44958496,-0.2434827049
11.5582742857,0.2684050832,0.0844317594,1354.61770972,102.460588728,-1008.87011719,-0.1242493702,0.2187167181,0.1103412595,1338.17856358,142.695939116,-1008.87011719,-0.1242493702
11.5275314286,0.2703403593,0.0597432536,1366.68285366,101.424153646,-1006.65319824,-0.2818026754,0.2191440661,0.1102557899,1362.64269253,142.569235193,-1006.65319824,-0.2818026754
11.4774742857,0.266066879,0.0611962369,1400.39549417,102.04671224,-1015.19750977,0.83335762,0.217007326,0.1108540771,1400.39549417,143.939009139,-1015.19750977,0.83335762
11.47456,0.271536391,0.0708981697,1361.20808805,100.401761239,-1008.26977539,-0.5841446872,0.2193921078,0.1111737345,1357.12280176,141.485729011,-1008.26977539,-0.5841446872
